hawkfish_no,year,season,treatment_new,bw_g,tank,tl_cm,sl_cm,chase_pre_v_post,mmr_corrected,smr_low10_all,aas_corrected,fas,percent_bw_scallop_fed,SDA_integrated,SDA_duration,peak_SDA_max,time_peak_SDA_max,sda_coeff,tarr,fhmax_peak,tpeak
1,2019,winter,31,6,S2,7,6.1,post,12.58,2.71,9.87,4.64,2,54.86,31.5,8.51,0,1.20,NA,NA,NA
2,2019,winter,31,8,S2,8.5,7.2,post,16.81,2.30,14.50,7.30,2,48.24,30.5,5.95,14.5,1.06,NA,NA,NA
3,2019,winter,31,9,S3,9,7.4,post,18.32,2.53,15.79,7.23,2,26.69,26.5,5.43,7.5,0.59,NA,NA,NA
4,2019,winter,27,6.7,S1,7.2,6.2,post,13.05,NA,NA,NA,2,18.58,28.5,3.07,0,0.41,NA,NA,NA
5,2019,winter,27,10.5,S4,9,7.2,post,13.85,1.52,12.33,9.09,2,31.06,28.5,4.25,15.5,0.68,NA,NA,NA
6,2019,winter,27,7,S5,7.1,6,post,9.48,1.37,8.11,6.91,2,31.38,29.5,3.90,15.5,0.69,NA,NA,NA
7,2019,winter,27,4,S5,6.7,5.9,post,16.42,1.78,14.65,9.25,2,59.89,34.5,5.03,19.5,1.32,NA,NA,NA
8,2019,winter,31,2,S2,4.5,3.9,pre,18.25,NA,NA,NA,2,23.52,12.5,9.09,5.5,0.52,NA,NA,NA
9,2019,winter,27,5,S1,7.4,6.1,pre,13.69,2.16,11.53,6.35,2,31.08,30.5,4.90,23.5,0.68,NA,NA,NA
10,2019,winter,27,2,S4,5,4.1,pre,14.75,NA,NA,NA,2,42.12,28.5,4.18,19.5,0.93,NA,NA,NA
11,2019,winter,27,10.6,S8,9,8.3,pre,22.45,2.48,19.98,9.07,2,20.80,17.5,5.15,6.5,0.46,NA,NA,NA
12,2019,winter,27,7.5,S8,7.6,6.2,pre,13.37,2.88,10.49,4.64,2,15.50,26.5,5.84,26.5,0.34,NA,NA,NA
13,2019,winter,27,5.5,S8,7.1,6.1,pre,8.54,1.92,6.62,4.45,2,39.89,31.5,4.59,0,0.88,NA,NA,NA
14,2019,winter,27,4.7,S6,7,6.2,pre,13.58,4.17,9.41,3.26,2,22.02,25.5,8.59,9.5,0.48,NA,NA,NA
15,2019,winter,31,10.6,S7,8.7,7.6,pre,10.95,3.48,7.47,3.15,2,21.31,18.5,7.33,5.5,0.47,NA,NA,NA
16,2019,winter,31,7.1,S7,8.6,6.5,pre,NA,4.50,NA,NA,2,21.74,24.5,7.36,5.5,0.48,NA,NA,NA
17,2019,winter,31,8.4,S7,8.4,6.9,pre,NA,3.65,NA,NA,2,18.79,29.5,6.26,13.5,0.41,NA,NA,NA
18,2019,winter,31,20,S7,10.6,9.2,pre,11.52,2.91,8.61,3.96,2,27.27,19.5,8.17,11.5,0.60,NA,NA,NA
19,2022,summer,28,3.34,T8,NA,NA,pre,13.91,4.33,9.58,3.21,4,94.63,31.5,10.52,3.5,2.08,37.2,453.8502,36
20,2022,summer,28,7.14,T4,NA,NA,pre,10.06,3.33,6.73,3.02,4,94.62,36.5,9.43,2.5,2.08,35.9,360.1829,34
21,2022,summer,28,12.81,T4,NA,NA,pre,9.63,3.28,6.35,2.94,4,55.40,35.5,7.21,5.5,1.22,NA,NA,NA
